2PA,2PM,Age,All TD,FGA,FGM,Fbl TD,GS,Games,Int TD,Kr Td,Number of Records,Oth TD,Pr Td,Player,Position,Pts/G,Pts,Rec TD,Rsh TD,Salary,Sfty,Team,XPA,XPM
,,,,,,,,,,,1,,,Raekwon McMillan,ILB,,,,,678524,,MIA,,
,,,,,,,,,,,1,,,Ben Gedeon,ILB,,,,,555000,,MIN,,
,,,,,,,,,,,1,,,Eric Wilson,ILB,,,,,555000,,MIN,,
,,,,,,,,,,,1,,,Kentrell Brothers,ILB,,,,,630000,,MIN,,
,,,,,,,,,,,1,,,Ja'Whaun Bentley,ILB,,,,,480000,,NWE,,
,,,,,,,,,,,1,,,Elandon Roberts,ILB,,,,,630000,,NWE,,
,,,,,,,,,,,1,,,Jason Cabinda,ILB,,,,,129200,,OAK,,
,,,,,,,,,,,1,,,Marquel Lee,ILB,,,,,555000,,OAK,,
,,,,,,,,,,,1,,,Tyler Matakevich,ILB,,,,,630000,,PIT,,
,,,,,,,,,,,1,,,Kevin Minter,ILB,,,,,325294,,TAM,,
,,,,,,,,,,,1,,,Jack Cichy,ILB,,,,,480000,,TAM,,
,,,,,,,,,,,1,,,Rashaan Evans,ILB,,,,,480000,,TEN,,
,,,,,,,,,,,1,,,Jayon Brown,ILB,,,,,555000,,TEN,,
,,,,,,,,,,,1,,,Matthew McCrane,K,,,,,395294,,2TM,,
,,,,,,,,,,,1,,,Daniel Carlson,K,,,,,480000,,2TM,,
,,,,,,,,,,,1,,,Greg Joseph,K,,,,,423529,,CLE,,
,,,,,,,,,,,1,,,Brett Maher,K,,,,,480000,,DAL,,
,,,,,,,,,,,1,,,Rigoberto Sanchez,K,,,,,555000,,IND,,
,,,,,,,,,,,1,,,Mike Badgley,K,,,,,338820,,LAC,,
,,,,,,,,,,,1,,,Jason Sanders,K,,,,,480000,,MIA,,
,,,,,,,,,,,1,,,Ray-Ray Armstrong,LB,,,,,464706,,2TM,,
,,,,,,,,,,,1,,,Emmanuel Ellerbee,LB,,,,,480000,,2TM,,
,,,,,,,,,,,1,,,Dennis Gardeck,LB,,,,,480000,,ARI,,
,,,,,,,,,,,1,,,Richard Jarvis,LB,,,,,129200,,ATL,,
,,,,,,,,,,,1,,,Chris Board,LB,,,,,480000,,BAL,,
,,,,,,,,,,,1,,,Kenny Young,LB,,,,,480000,,BAL,,
,,,,,,,,,,,1,,,Patrick Onwuasor,LB,,,,,630000,,BAL,,
,,,,,,,,,,,1,,,Corey Thompson,LB,,,,,129200,,BUF,,
,,,,,,,,,,,1,,,Deon Lacey,LB,,,,,555000,,BUF,,
,,,,,,,,,,,1,,,Efe Obada,LB,,,,,480000,,CAR,,
,,,,,,,,,,,1,,,Jermaine Carter,LB,,,,,480000,,CAR,,
,,,,,,,,,,,1,,,Joel Iyiegbuniwe,LB,,,,,480000,,CHI,,
,,,,,,,,,,,1,,,Roy Robertson-Harris,LB,,,,,555000,,CHI,,
,,,,,,,,,,,1,,,Xavier Woodson-Luster,LB,,,,,359117,,CLE,,
,,,,,,,,,,,1,,,D'Juan Hines,LB,,,,,423529,,CLE,,
